ID,ID2,Item title,Item subtitle,Item description,Item address,Price,Sale price,Image URL,Destination URL,Item category,Contextual keywords,Final URL
7333,,"Vans Kyle Walker Pro","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","20990 HUF",,"https://coreshop.hu/pictures/termekek/7/3/3/3/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/kyle-walker-pro/7333"
7332,,"Vans SK8-Mid Reissue","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","20990 HUF",,"https://coreshop.hu/pictures/termekek/7/3/3/2/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/sk8-mid-reissue/7332"
7331,,"Vans TNT SG","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","19990 HUF",,"https://coreshop.hu/pictures/termekek/7/3/3/1/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/tnt-sg/7331"
7321,,"Vans UltraRange DX","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","26990 HUF","21590 HUF","https://coreshop.hu/pictures/termekek/7/3/2/1/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/ultrarange-dx/7321"
7320,,"Vans SK8-Hi MTE","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","26990 HUF","21590 HUF","https://coreshop.hu/pictures/termekek/7/3/2/0/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/sk8-hi-mte/7320"
7318,,"Vans UltraRange MTE","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","26990 HUF","21590 HUF","https://coreshop.hu/pictures/termekek/7/3/1/8/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/ultrarange-mte/7318"
7317,,"Vans Style 112 Pro","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","19990 HUF","15990 HUF","https://coreshop.hu/pictures/termekek/7/3/1/7/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/style-112-pro/7317"
7316,,"Vans UltraRange Pro","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","26990 HUF","21590 HUF","https://coreshop.hu/pictures/termekek/7/3/1/6/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/ultrarange-pro/7316"
7315,,"Vans UltraRange Pro","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","26990 HUF","21590 HUF","https://coreshop.hu/pictures/termekek/7/3/1/5/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/ultrarange-pro/7315"
7307,,"Vans Gilbert Crockett 2 ","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","20990 HUF","16790 HUF","https://coreshop.hu/pictures/termekek/7/3/0/7/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/gilbert-crockett-2-pro/7307"
7305,,"Vans Quest MTE","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","24990 HUF","19990 HUF","https://coreshop.hu/pictures/termekek/7/3/0/5/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/quest-mte/7305"
7304,,"Vans Quest MTE","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","24990 HUF","19990 HUF","https://coreshop.hu/pictures/termekek/7/3/0/4/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/quest-mte/7304"
7303,,"Vans UltraRange","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","26990 HUF","21590 HUF","https://coreshop.hu/pictures/termekek/7/3/0/3/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/ultrarange/7303"
7299,,"Vans UltraRange","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","26990 HUF","21590 HUF","https://coreshop.hu/pictures/termekek/7/2/9/9/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/ultrarange/7299"
7298,,"Vans Kyle Walker Pro","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","21990 HUF","17590 HUF","https://coreshop.hu/pictures/termekek/7/2/9/8/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/kyle-walker-pro/7298"
7297,,"Vans Kyle Walker Pro","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","21990 HUF","17590 HUF","https://coreshop.hu/pictures/termekek/7/2/9/7/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/kyle-walker-pro/7297"
7296,,"Vans Kyle Walker Pro","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","21990 HUF","17590 HUF","https://coreshop.hu/pictures/termekek/7/2/9/6/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/kyle-walker-pro/7296"
7287,,"Vans UltraRange Pro","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","26990 HUF","21590 HUF","https://coreshop.hu/pictures/termekek/7/2/8/7/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/ultrarange-pro/7287"
7216,,"Vans SK8-Hi MTE","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","26990 HUF","21590 HUF","https://coreshop.hu/pictures/termekek/7/2/1/6/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/sk8-hi-mte/7216"
7214,,"Vans SK8-Hi Reissue Waff","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","24990 HUF","19990 HUF","https://coreshop.hu/pictures/termekek/7/2/1/4/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/sk8-hi-reissue-wafflesaw-dx/7214"
7213,,"Vans Atwood Hi","Vans férfi cipő","Vans férfi cipők jó áron","1163 Cziráki utca 26-32, Budapest, Hungary, 47.507638, 19.161153","20990 HUF","14990 HUF","https://coreshop.hu/pictures/termekek/7/2/1/3/1_large.jpg?17",,"Vans férfi cipő",,"https://coreshop.hu/hu/termek/atwood-hi/7213"
