Cikksz�m|Term�kn�v|Term�kle�r�s|Brutt��r|Fot�link|Term�klink|Sz�ll�t�siId�|Sz�ll�t�siK�lts�g
5789|DC Nyjah Vulc SE||19190|http://www.coreshop.hu/pictures/termekek/5/7/8/9/1_small.jpg|http://www.coreshop.hu/hu/termek/nyjah_vulc_se/5789|1 munkanap|Ingyenes
5525|DC Nyjah|A teljesítmény-orientált DC Nyjah S cipő a letisztult vonalak és élenjáró technológiai megoldások ötvözete. A szerkezet: strapabíró, egy darabból öntött talp ImpactG technológiával a sarok védelméért, illetve díszvarrással ellátott, letisztult vonalú nyelv a hosszabb élettartamért. A stílus: egyedi logó a nyelven és a belsőben.|19990|http://www.coreshop.hu/pictures/termekek/5/5/2/5/1_small.jpg|http://www.coreshop.hu/hu/termek/nyjah/5525|1 munkanap|Ingyenes
5523|DC Rob Dyrdek Grand SE|A DC Collection egyik darabja, az alacsony szárú RD Grand SE Rob Dyrdek-dizájnnal lopja be magát a szívünkbe. Ha ez még nem lenne elég, nézzük csak meg a felhasznált minőségi anyagokat és a letisztult orr-részt.|19990|http://www.coreshop.hu/pictures/termekek/5/5/2/3/1_small.jpg|http://www.coreshop.hu/hu/termek/rob_dyrdek_grand_se/5523|1 munkanap|Ingyenes
5522|DC Lynx Prestige S|A DC Collection egyik darabja, a Lynx Prestige S klasszikus formájával hódít, különlegessége az orrán található „smirgli”-mintázat. Jellemzői még a szarvasbőr felsőrész és a fűzőt védő bújtatóhurkok.|18390|http://www.coreshop.hu/pictures/termekek/5/5/2/2/1_small.jpg|http://www.coreshop.hu/hu/termek/lynx_prestige_s/5522|1 munkanap|Ingyenes
5401|DC Rob Dyrdek Grand Mid|A DC-szponzorált profi deszkás Rob Dyrdek Grand cipője szintet ugrott; mostantól  DC Rob Dyrdek Grand Mid néven elérhető félmagas-szárú változatban is. Amellett, hogy igen pofásan néz ki, - gondoljunk csak az egyedi színösszeállítású panelekre és varrásokra - minden benne van, amire egy Rob-szintű deszkásnak csak szüksége lehet. A nyelven az egyedi Drydek-féle DC-logó található, a cipő oldalán pedig a jól megszokott DC-jelvény.|19990|http://www.coreshop.hu/pictures/termekek/5/4/0/1/1_small.jpg|http://www.coreshop.hu/hu/termek/rob_dyrdek_grand_mid/5401|1 munkanap|Ingyenes
4264|DC Studio LTZ||11990|http://www.coreshop.hu/pictures/termekek/4/2/6/4/1_small.jpg|http://www.coreshop.hu/hu/termek/studio_ltz/4264|1 munkanap|Ingyenes
6373|Vans Old Skool|Az Old Skool-on jelent meg először a klasszikus oldalcsík, amely mára már a Vans cipők védjegyévé vált. Esztétikus megjelenése mellett nagyfokú tartósság jellemzi az Old Skool-t, amit már évtizedek óta gördeszkások generációi koptatnak|17990|http://www.coreshop.hu/pictures/termekek/6/3/7/3/1_small.jpg|http://www.coreshop.hu/hu/termek/old_skool/6373|1 munkanap|Ingyenes
6372|Vans Old Skool|Az Old Skool-on jelent meg először a klasszikus oldalcsík, amely mára már a Vans cipők védjegyévé vált. Esztétikus megjelenése mellett nagyfokú tartósság jellemzi az Old Skool-t, amit már évtizedek óta gördeszkások generációi koptatnak|17990|http://www.coreshop.hu/pictures/termekek/6/3/7/2/1_small.jpg|http://www.coreshop.hu/hu/termek/old_skool/6372|1 munkanap|Ingyenes
6342|Vans (Nintendo) Authentic||17990|http://www.coreshop.hu/pictures/termekek/6/3/4/2/1_small.jpg|http://www.coreshop.hu/hu/termek/(nintendo)_authentic/6342|1 munkanap|Ingyenes
6341|Vans (Nintendo) Authentic||17990|http://www.coreshop.hu/pictures/termekek/6/3/4/1/1_small.jpg|http://www.coreshop.hu/hu/termek/(nintendo)_authentic/6341|1 munkanap|Ingyenes
6340|Vans (Nintendo) Authentic||17990|http://www.coreshop.hu/pictures/termekek/6/3/4/0/1_small.jpg|http://www.coreshop.hu/hu/termek/(nintendo)_authentic/6340|1 munkanap|Ingyenes
6339|Vans (Nintendo) Classic Slip-On||19990|http://www.coreshop.hu/pictures/termekek/6/3/3/9/1_small.jpg|http://www.coreshop.hu/hu/termek/(nintendo)_classic_slip-on/6339|1 munkanap|Ingyenes
6338|Vans (Nintendo) Old Skool||20990|http://www.coreshop.hu/pictures/termekek/6/3/3/8/1_small.jpg|http://www.coreshop.hu/hu/termek/(nintendo)_old_skool/6338|1 munkanap|Ingyenes
6337|Vans (Nintendo) Sk8-Hi Reissue||21990|http://www.coreshop.hu/pictures/termekek/6/3/3/7/1_small.jpg|http://www.coreshop.hu/hu/termek/(nintendo)_sk8-hi_reissue/6337|1 munkanap|Ingyenes
6336|Vans Atwood|Az Atwood a Vans örökség legsikeresebb stílusát követi, tartós és kényelmes, ellenáll a legdurvább igénybevételnek is.|15990|http://www.coreshop.hu/pictures/termekek/6/3/3/6/1_small.jpg|http://www.coreshop.hu/hu/termek/atwood/6336|1 munkanap|Ingyenes
6335|Vans Atwood|Az Atwood a Vans örökség legsikeresebb stílusát követi, tartós és kényelmes, ellenáll a legdurvább igénybevételnek is.|15990|http://www.coreshop.hu/pictures/termekek/6/3/3/5/1_small.jpg|http://www.coreshop.hu/hu/termek/atwood/6335|1 munkanap|Ingyenes
6334|Vans Dazie-Hi||19990|http://www.coreshop.hu/pictures/termekek/6/3/3/4/1_small.jpg|http://www.coreshop.hu/hu/termek/dazie-hi/6334|1 munkanap|Ingyenes
6319|Vans AV RapidWeld Pro|A Vans Anthony Van Engelen-kollekció új darabja, az AV Rapidweld Pro egy igazi teljesítmény-orientált cipő, régimódi köntösben. Fő tulajdonsága, hogy felső része varrás nélkül készül: a ragasztott RAPIDWELD  héjat hasított bőr díszíti, a kopásnak kitett felületekre pedig  DURACAP-réteg került erősítésképp. Az UltraCush HD talpbetét vékony, de kitűnő csillapítással rendelkezik, a Vans-től megszokott ostya-mintázatú járótalp meg a tapadásról gondoskodik. A hab a tortán a LUXLINER belső kialakítás és a Pro Vulc Lite szerkezetű talp, így az AV Rapidweld Pro az utolsó szó a könnyű súly és a tartósság terén.|23990|http://www.coreshop.hu/pictures/termekek/6/3/1/9/1_small.jpg|http://www.coreshop.hu/hu/termek/av_rapidweld_pro/6319|1 munkanap|Ingyenes
6288|Vans Old Skool|Az Old Skool-on jelent meg először a klasszikus oldalcsík, amely mára már a Vans cipők védjegyévé vált. Esztétikus megjelenése mellett nagyfokú tartósság jellemzi az Old Skool-t, amit már évtizedek óta gördeszkások generációi koptatnak.|17990|http://www.coreshop.hu/pictures/termekek/6/2/8/8/1_small.jpg|http://www.coreshop.hu/hu/termek/old_skool/6288|1 munkanap|Ingyenes
6259|Vans Slip-On SF||15990|http://www.coreshop.hu/pictures/termekek/6/2/5/9/1_small.jpg|http://www.coreshop.hu/hu/termek/slip-on_sf/6259|1 munkanap|Ingyenes
6258|Vans AV RapidWeld Pro|A Vans Anthony Van Engelen-kollekció új darabja, az AV Rapidweld Pro egy igazi teljesítmény-orientált cipő, régimódi köntösben. Fő tulajdonsága, hogy felső része varrás nélkül készül: a ragasztott RAPIDWELD  héjat hasított bőr díszíti, a kopásnak kitett felületekre pedig  DURACAP-réteg került erősítésképp. Az UltraCush HD talpbetét vékony, de kitűnő csillapítással rendelkezik, a Vans-től megszokott ostya-mintázatú járótalp meg a tapadásról gondoskodik. A hab a tortán a LUXLINER belső kialakítás és a Pro Vulc Lite szerkezetű talp, így az AV Rapidweld Pro az utolsó szó a könnyű súly és a tartósság terén.|22990|http://www.coreshop.hu/pictures/termekek/6/2/5/8/1_small.jpg|http://www.coreshop.hu/hu/termek/av_rapidweld_pro/6258|1 munkanap|Ingyenes
6257|Vans AV RapidWeld Pro|A Vans Anthony Van Engelen-kollekció új darabja, az AV Rapidweld Pro egy igazi teljesítmény-orientált cipő, régimódi köntösben. Fő tulajdonsága, hogy felső része varrás nélkül készül: a ragasztott RAPIDWELD  héjat hasított bőr díszíti, a kopásnak kitett felületekre pedig  DURACAP-réteg került erősítésképp. Az UltraCush HD talpbetét vékony, de kitűnő csillapítással rendelkezik, a Vans-től megszokott ostya-mintázatú járótalp meg a tapadásról gondoskodik. A hab a tortán a LUXLINER belső kialakítás és a Pro Vulc Lite szerkezetű talp, így az AV Rapidweld Pro az utolsó szó a könnyű súly és a tartósság terén.|22990|http://www.coreshop.hu/pictures/termekek/6/2/5/7/1_small.jpg|http://www.coreshop.hu/hu/termek/av_rapidweld_pro/6257|1 munkanap|Ingyenes
6256|Vans Authentic SF|Vans X Yusuke Hanai kollekció egy darabja, a Yusuke Hanai Authentic SF a japán művész ötvenes évek ihlette alkotásait és stílusát kombinálja a Vans fiatalos megjelenésével. Felépítésében az eredeti Authentic-profilt ötvözi a Vans Surf SF szerkezetével, így megtalálható benne a kivehető és mosható UltraCush Eco talpbetét, a puha sarokrész és a könnyű és hajlékony ostya-mintázatú járótalp.|16990|http://www.coreshop.hu/pictures/termekek/6/2/5/6/1_small.jpg|http://www.coreshop.hu/hu/termek/authentic_sf/6256|1 munkanap|Ingyenes
6255|Vans Old Skool|The Vintage Sport Old Skool egy klasszikus újraalkotása: ez volt az első cipő, amely a legendássá vált oldalsó csíkkal készült. Mi kell még?: alacsony szár, fűzők felül, textil és bőr felsőrész, a kopásállóság érdekében megerősített orr, a Vans-től megszokott ostya-mintázatú járótalp és a párnázás, hogy stabil és kényelmes legyen a cipő.|19990|http://www.coreshop.hu/pictures/termekek/6/2/5/5/1_small.jpg|http://www.coreshop.hu/hu/termek/old_skool/6255|1 munkanap|Ingyenes
6254|Vans Old Skool|The Vintage Sport Old Skool egy klasszikus újraalkotása: ez volt az első cipő, amely a legendássá vált oldalsó csíkkal készült. Mi kell még?: alacsony szár, fűzők felül, textil és bőr felsőrész, a kopásállóság érdekében megerősített orr, a Vans-től megszokott ostya-mintázatú járótalp és a párnázás, hogy stabil és kényelmes legyen a cipő.|19990|http://www.coreshop.hu/pictures/termekek/6/2/5/4/1_small.jpg|http://www.coreshop.hu/hu/termek/old_skool/6254|1 munkanap|Ingyenes
6253|Vans Classic Slip-On|A Vans The Late Night Classic Slip-On a klasszikus bebújós cipő vidám pepita-és-gyorsétterem mintával. Egyebek: párnázott felsőrész,  rugalmas oldalfal és a Vans-től megszokott ostya-mintázatú járótalp.|17990|http://www.coreshop.hu/pictures/termekek/6/2/5/3/1_small.jpg|http://www.coreshop.hu/hu/termek/classic_slip-on/6253|1 munkanap|Ingyenes
6203|Vans Classic Slip-On|Classic Slip-On: kell-e többet mondanunk? Nem nagyon; ez a cipő a gördeszkás- és popkultúra megkerülhetetlen eleme, a gördeszkaparkoktól a mozifilmekig, egyszóval a modern élet minden területén, szerte a világon. Minek köszönhető ez a népszerűség? Az utánozhatatlan minőségnek, emiatt is lett ez a cipő az Off The Wall-innovációs program egyik inspirálója.|15990|http://www.coreshop.hu/pictures/termekek/6/2/0/3/1_small.jpg|http://www.coreshop.hu/hu/termek/classic_slip-on/6203|1 munkanap|Ingyenes
6194|Vans Classic Slip-On|A New Yorkban alkotó multiméda-művész, Baron Von Fancy szerteágazó művészi munkássága a hatalmas, képregényes stílusban megalkotott festményektől az egyszerűnek tűnő, de játékos és egyben költői szövegekig terjed. Az 50-es évek plakátjainak stílusában pompázó Baron Von Fancy Classic Slip-On feltűnő, kézírásos feliratokkal vonja magára a figyelmet, élénk színű betétek dobják fel megjelenését. Jellemzői még a strapabíró vászon felsőrész, a rugalmas oldalfal és a Vans-től megszokott ostya-mintázatú járótalp.|17990|http://www.coreshop.hu/pictures/termekek/6/1/9/4/1_small.jpg|http://www.coreshop.hu/hu/termek/classic_slip-on/6194|1 munkanap|Ingyenes
6192|Vans Authentic|A New Yorkban alkotó multimédia-művész, Baron Von Fancy szerteágazó művészi munkássága a hatalmas, képregényes stílusban megalkotott festményektől az egyszerűnek tűnő, de játékos és egyben költői szövegekig terjed. Az 50-es évek plakátjainak stílusában pompázó Baron Von Fancy Authentic feltűnő, kézírásos feliratokkal vonja magára a figyelmet, élénk színű betétek dobják fel megjelenését. Jellemzői még a strapabíró vászon felsőrész, a fémből készüt bújtatók és a Vans-től megszokott gumitalp.|17990|http://www.coreshop.hu/pictures/termekek/6/1/9/2/1_small.jpg|http://www.coreshop.hu/hu/termek/authentic/6192|1 munkanap|Ingyenes
6191|Vans SK8-Hi Slim Zip|A New Yorkban alkotó multiméda-művész, Baron Von Fancy szerteágazó művészi munkássága a hatalmas, képregényes stílusban megalkotott festményektől az egyszerűnek tűnő, de játékos és egyben költői szövegekig terjed. Az 50-es évek plakátjainak stílusában pompázó Baron Von Fancy Sk8-Hi Slim Zip feltűnő, kézírásos feliratokkal vonja magára a figyelmet, élénk színű betétek dobják fel megjelenését. Jellemzői még a strapabíró vászon felsőrész, a zipzáras sarok, a párnázás és a Vans-től megszokott ostya-mintázatú járótalp.|20990|http://www.coreshop.hu/pictures/termekek/6/1/9/1/1_small.jpg|http://www.coreshop.hu/hu/termek/sk8-hi_slim_zip/6191|1 munkanap|Ingyenes
6190|Vans TNT SG||19990|http://www.coreshop.hu/pictures/termekek/6/1/9/0/1_small.jpg|http://www.coreshop.hu/hu/termek/tnt_sg/6190|1 munkanap|Ingyenes
