product.sku,product.model,product.product_ring_id,product.status,product.sort_order,product.manufacturer_id,product_to_category.category_name,product.image,product.image_alt,product_image.image.1,product_image.image.2,product_image.image.3,product_image.image.4,product_image.image.5,product_image.image.6,product_image.image.7,product_image.image.8,product_image.image_alt.1,product_image.image_alt.2,product_image.image_alt.3,product_image.image_alt.4,product_image.image_alt.5,product_image.image_alt.6,product_image.image_alt.7,product_image.image_alt.8,product.alapar,product.szorzo,product.tax_class_id,product.gross_price,product.quantity_2,product.instock_status_id,product.minimum,product.shipping,product.available,product.date_available,product_description.name.hu,product_description.quantity_name.hu,product_description.short_description.hu,product_description.description.hu,product_special.price.1,product.product_class_id,attr_values.meret.hu,attr_values.meret_ruha.hu,attr_values.szin.hu
5950_01,3613370837748,,1,-5950,DC,Férfi ruházat ||| Póló;Outlet ||| Akciós férfi ruha,product/2017/5950_1.jpg,DC Numbers Port Royale,product/2017/5950_2.jpg,,,,,,,,DC Numbers Port Royale,DC Numbers Port Royale,DC Numbers Port Royale,DC Numbers Port Royale,DC Numbers Port Royale,DC Numbers Port Royale,DC Numbers Port Royale,DC Numbers Port Royale,5503.93700787,1.5,27,6990,1,0,1,1,1,2015-09-24 14:06:11,DC Numbers Port Royale,db,,,3141.73228346,ruhazat,"","S","Piros"
1627_01,658100040794,,1,-1627,Vans,Kiegészítő ||| Pénztárca,product/2017/1627_1.jpg,Vans Slipped Black/White,product/2017/1627_2.jpg,product/2017/1627_3.jpg,,,,,,,Vans Slipped Black/White,Vans Slipped Black/White,Vans Slipped Black/White,Vans Slipped Black/White,Vans Slipped Black/White,Vans Slipped Black/White,Vans Slipped Black/White,Vans Slipped Black/White,3929.13385827,1.5,27,4990,5,0,1,1,1,2017-07-20 18:38:21,Vans Slipped Black/White,db,,,3141.73228346,ruhazat,"","-","Fekete"
2637_01,658100227966,,1,-2637,Vans,Kiegészítő ||| Pénztárca,product/2017/2637_1.jpg,Vans Slipped Black/Gunmetal,product/2017/2637_2.jpg,product/2017/2637_3.jpg,,,,,,,Vans Slipped Black/Gunmetal,Vans Slipped Black/Gunmetal,Vans Slipped Black/Gunmetal,Vans Slipped Black/Gunmetal,Vans Slipped Black/Gunmetal,Vans Slipped Black/Gunmetal,Vans Slipped Black/Gunmetal,Vans Slipped Black/Gunmetal,3929.13385827,1.5,27,4990,6,0,1,1,1,2017-10-20 10:17:59,Vans Slipped Black/Gunmetal,db,,,3141.73228346,ruhazat,"","-","Fekete"
2969_01,732075973551,,1,-2969,Vans,Férfi ruházat ||| Póló,product/2017/2969_1.jpg,Vans OTW Black/White,product/2017/2969_2.jpg,product/2017/2969_3.jpg,,,,,,,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,5503.93700787,1.5,27,6990,1,0,1,1,1,2017-07-20 18:32:24,Vans OTW Black/White,db,,,4401.57480315,ruhazat,"","L","Fekete"
2969_03,732075973537,2969_01,1,-2969,Vans,Férfi ruházat ||| Póló,product/2017/2969_1.jpg,Vans OTW Black/White,product/2017/2969_2.jpg,product/2017/2969_3.jpg,,,,,,,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,5503.93700787,1.5,27,6990,1,0,1,1,1,2017-07-20 18:32:24,Vans OTW Black/White,db,,,4401.57480315,ruhazat,"","S","Fekete"
2969_04,732075973568,2969_01,1,-2969,Vans,Férfi ruházat ||| Póló,product/2017/2969_1.jpg,Vans OTW Black/White,product/2017/2969_2.jpg,product/2017/2969_3.jpg,,,,,,,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,5503.93700787,1.5,27,6990,1,0,1,1,1,2017-07-20 18:32:24,Vans OTW Black/White,db,,,4401.57480315,ruhazat,"","XL","Fekete"
3013_01,732075973674,,1,-3013,Vans,Férfi ruházat ||| Póló,product/2017/3013_1.jpg,Vans OTW White/Black,product/2017/3013_2.jpg,product/2017/3013_3.jpg,,,,,,,Vans OTW White/Black,Vans OTW White/Black,Vans OTW White/Black,Vans OTW White/Black,Vans OTW White/Black,Vans OTW White/Black,Vans OTW White/Black,Vans OTW White/Black,5503.93700787,1.5,27,6990,2,0,1,1,1,2017-12-21 15:10:38,Vans OTW White/Black,db,,,4401.57480315,ruhazat,"","L","Feher"
3619_01,888366277850,,1,-3619,Vans,Kiegészítő ||| Zokni,product/2017/3619_1.jpg,Vans Classic Crew Black,product/2017/3619_2.jpg,,,,,,,,Vans Classic Crew Black,Vans Classic Crew Black,Vans Classic Crew Black,Vans Classic Crew Black,Vans Classic Crew Black,Vans Classic Crew Black,Vans Classic Crew Black,Vans Classic Crew Black,1173.22834646,1.5,27,1490,9,0,1,1,1,2018-01-31 12:10:29,Vans Classic Crew Black,db,,,0,ruhazat,"","42,5-47","Fekete"
3619_02,888366277454,3619_01,1,-3619,Vans,Kiegészítő ||| Zokni,product/2017/3619_1.jpg,Vans Classic Crew Black,product/2017/3619_2.jpg,,,,,,,,Vans Classic Crew Black,Vans Classic Crew Black,Vans Classic Crew Black,Vans Classic Crew Black,Vans Classic Crew Black,Vans Classic Crew Black,Vans Classic Crew Black,Vans Classic Crew Black,1173.22834646,1.5,27,1490,9,0,1,1,1,2018-01-31 12:10:29,Vans Classic Crew Black,db,,,0,ruhazat,"","38,5-42","Fekete"
3620_01,888366277539,,1,-3620,Vans,Kiegészítő ||| Zokni,product/2017/3620_1.jpg,Vans Classic Crew White,product/2017/3620_2.jpg,,,,,,,,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,1173.22834646,1.5,27,1490,6,0,1,1,1,2018-01-31 12:10:29,Vans Classic Crew White,db,,,0,ruhazat,"","38,5-42","Feher"
3620_02,888366277935,3620_01,1,-3620,Vans,Kiegészítő ||| Zokni,product/2017/3620_1.jpg,Vans Classic Crew White,product/2017/3620_2.jpg,,,,,,,,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,1173.22834646,1.5,27,1490,6,0,1,1,1,2018-01-31 12:10:29,Vans Classic Crew White,db,,,0,ruhazat,"","42,5-47","Feher"
3760_01,700053513518,,1,-3760,Vans,Kiegészítő ||| Öv;Outlet ||| Akciós kiegészítő,product/2017/3760_1.jpg,Vans Transparent Electric Grape,product/2017/3760_2.jpg,product/2017/3760_3.jpg,product/2017/3760_4.jpg,,,,,,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,5503.93700787,1.5,27,6990,1,0,1,1,1,2012-03-28 12:16:16,Vans Transparent Electric Grape,db,,,3141.73228346,ruhazat,"","M","Lila"
